2014-05-22 14:40:50.858000,4,0.07
2014-05-22 14:42:53.882000,11,0.19
2014-05-22 14:44:56.907000,5,0.08
2014-05-22 14:46:59.932000,6,0.1
2014-05-22 14:49:02.958000,8,0.14
2014-05-22 14:51:05.982000,4,0.07
2014-05-22 14:53:09.006000,2,0.03
2014-05-22 14:55:12.032000,6,0.1
2014-05-22 14:57:15.057000,3,0.05
2014-05-22 14:59:18.082000,8,0.14
2014-05-22 15:01:21.106000,8,0.14
2014-05-22 15:03:24.131000,4,0.07
2014-05-22 15:05:27.156000,5,0.08
2014-05-22 15:07:30.181000,10,0.17
2014-05-22 15:09:33.207000,6,0.1
2014-05-22 15:11:36.231000,2,0.03
2014-05-22 15:13:39.255000,9,0.15
2014-05-22 15:15:42.280000,4,0.07
2014-05-22 15:17:45.306000,4,0.07
2014-05-22 15:19:48.331000,5,0.08
2014-05-22 15:21:51.355000,6,0.1
2014-05-22 15:23:54.380000,6,0.1
2014-05-22 15:25:57.405000,9,0.15
2014-05-22 15:28:00.430000,8,0.14
2014-05-22 15:30:03.455000,7,0.12
2014-05-22 15:32:06.480000,12,0.21
2014-05-22 15:34:09.504000,5,0.08
2014-05-22 15:36:12.529000,3,0.05
2014-05-22 15:38:15.554000,8,0.14
2014-05-22 15:40:18.580000,6,0.1
2014-05-22 15:42:21.604000,5,0.08
2014-05-22 15:44:24.628000,5,0.08
2014-05-22 15:46:27.659000,7,0.12
2014-05-22 15:48:30.683000,6,0.1
2014-05-22 15:50:33.708000,7,0.12
2014-05-22 15:52:36.728000,13,0.22
2014-05-22 15:54:39.757000,11,0.19
2014-05-22 15:56:42.783000,1,0.01
2014-05-22 15:58:45.803000,7,0.12
2014-05-22 16:00:48.833000,4,0.07
2014-05-22 16:02:51.857000,3,0.05
2014-05-22 16:04:54.881000,10,0.17
2014-05-22 16:06:57.907000,11,0.19
2014-05-22 16:09:00.932000,4,0.07
2014-05-22 16:11:03.957000,7,0.12
2014-05-22 16:13:06.981000,7,0.12
2014-05-22 16:15:10.006000,5,0.08
2014-05-22 16:17:13.032000,5,0.08
2014-05-22 16:19:16.056000,5,0.08
2014-05-22 16:21:19.081000,5,0.08
2014-05-22 16:23:22.106000,3,0.05
2014-05-22 16:25:25.130000,7,0.12
2014-05-22 16:27:28.156000,7,0.12
